quarter,state,code,unemployment,frustration,calls
2019-Q4,Colorado,CO,2.4,2.5,21.666666666666668
2019-Q4,Connecticut,CT,3.3,3.8461538461538463,17.0
2019-Q4,Delaware,DE,3.6,4.5,3.6666666666666665
2019-Q4,District of Columbia,DC,5.0,5.0,5.0
2019-Q4,Florida,FL,3.1,4.080357142857143,101.33333333333333
2019-Q4,Georgia,GA,3.2,4.05,47.0
2019-Q4,Hawaii,HI,2.3,2.8333333333333335,6.0
2019-Q4,Idaho,ID,2.5,2.7,10.333333333333334
2019-Q4,Illinois,IL,3.4,4.509433962264151,61.0
2019-Q4,Indiana,IN,3.1,4.333333333333333,34.0
2019-Q4,Iowa,IA,2.9,3.6315789473684212,13.0
2019-Q4,Kansas,KS,2.8,4.375,11.0
2019-Q4,Kentucky,KY,3.7,4.117647058823529,20.666666666666668
2019-Q4,Louisiana,LA,4.8,4.411764705882353,19.666666666666668
2019-Q4,Maine,ME,2.5,2.857142857142857,8.333333333333334
2019-Q4,Maryland,MD,3.2,3.7916666666666665,30.666666666666668
2019-Q4,Massachusetts,MA,2.5,2.3333333333333335,31.333333333333332
2019-Q4,Michigan,MI,3.4,4.186046511627907,47.0
2019-Q4,Minnesota,MN,3.2,4.46875,25.666666666666668
2019-Q4,Mississippi,MS,5.2,6.1,10.666666666666666
2019-Q4,Missouri,MO,3.3,4.115384615384615,27.0
2019-Q4,Montana,MT,3.7,4.714285714285714,5.333333333333333
2019-Q4,Nebraska,NE,2.7,4.777777777777778,10.0
2019-Q4,Nevada,NV,3.6,3.95,16.0
2019-Q4,New Hampshire,NH,2.3,2.0,5.0
2019-Q4,New Jersey,NJ,3.2,4.384615384615385,40.666666666666664
2019-Q4,New Mexico,NM,4.8,4.444444444444445,8.333333333333334
2019-Q4,New York,NY,3.6,4.157894736842105,90.0
2019-Q4,North Carolina,NC,3.5,4.108695652173913,45.666666666666664
2019-Q4,North Dakota,ND,2.2,3.0,7.0
2019-Q4,Ohio,OH,3.9,4.295454545454546,48.333333333333336
2019-Q4,Oklahoma,OK,3.1,4.117647058823529,19.333333333333332
2019-Q4,Oregon,OR,3.1,4.0,21.333333333333332
2019-Q4,Pennsylvania,PA,4.4,4.180327868852459,57.0
2019-Q4,Rhode Island,RI,3.3,4.25,5.666666666666667
2019-Q4,South Carolina,SC,2.5,2.4444444444444446,20.333333333333332
2019-Q4,South Dakota,SD,3.0,6.0,2.3333333333333335
2019-Q4,Tennessee,TN,3.3,4.105263157894737,32.0
2019-Q4,Texas,TX,3.4,4.202247191011236,112.66666666666667
2019-Q4,Utah,UT,2.2,2.6923076923076925,15.666666666666666
2019-Q4,Vermont,VT,2.4,3.0,4.666666666666667
2019-Q4,Virginia,VA,2.4,2.7058823529411766,36.333333333333336
2019-Q4,Washington,WA,3.9,4.333333333333333,27.0
2019-Q4,West Virginia,WV,4.7,4.25,9.666666666666666
2019-Q4,Wisconsin,WI,3.0,4.214285714285714,29.0
2019-Q4,Wyoming,WY,4.1,4.666666666666667,3.6666666666666665
2020-Q1,Alabama,AL,3.1,4.45,29.666666666666668
2020-Q1,Alaska,AK,6.2,6.666666666666667,4.0
2020-Q1,Arizona,AZ,5.2,5.88,46.0
2020-Q1,Arkansas,AR,4.2,4.454545454545454,13.666666666666666
2020-Q1,California,CA,5.1,5.951156812339332,238.33333333333334
2020-Q1,Colorado,CO,5.0,4.21875,37.666666666666664
2020-Q1,Connecticut,CT,4.3,4.666666666666667,20.666666666666668
2020-Q1,Delaware,DE,5.2,5.833333333333333,9.0
2020-Q1,District of Columbia,DC,5.5,5.857142857142857,4.0
2020-Q1,Florida,FL,5.0,4.259740259740259,126.66666666666667
2020-Q1,Georgia,GA,3.7,4.268817204301075,57.333333333333336
2020-Q1,Hawaii,HI,2.1,2.6666666666666665,7.0
2020-Q1,Idaho,ID,3.3,4.35,13.0
2020-Q1,Illinois,IL,4.0,4.183333333333334,69.66666666666667
2020-Q1,Indiana,IN,3.7,4.62962962962963,37.333333333333336
2020-Q1,Iowa,IA,3.6,4.166666666666667,18.666666666666668
2020-Q1,Kansas,KS,3.5,4.476190476190476,15.0
2020-Q1,Kentucky,KY,4.9,4.1875,27.333333333333332
2020-Q1,Louisiana,LA,5.3,5.959183673469388,27.333333333333332
2020-Q1,Maine,ME,4.3,4.142857142857143,10.666666666666666
2020-Q1,Maryland,MD,3.9,4.44,36.666666666666664
2020-Q1,Massachusetts,MA,3.4,4.322033898305085,42.333333333333336
2020-Q1,Michigan,MI,4.5,4.26,59.666666666666664
2020-Q1,Minnesota,MN,4.5,4.45,41.666666666666664
2020-Q1,Mississippi,MS,6.2,6.3076923076923075,17.0
2020-Q1,Missouri,MO,4.4,4.151515151515151,42.0
2020-Q1,Montana,MT,4.7,4.166666666666667,7.333333333333333
2020-Q1,Nebraska,NE,3.5,4.705882352941177,12.0
2020-Q1,Nevada,NV,6.7,6.076923076923077,16.666666666666668
2020-Q1,New Hampshire,NH,3.1,4.25,9.666666666666666
2020-Q1,New Jersey,NJ,4.2,4.34375,52.333333333333336
2020-Q1,New Mexico,NM,5.5,6.052631578947368,14.0
2020-Q1,New York,NY,4.4,4.048192771084337,110.66666666666667
2020-Q1,North Carolina,NC,4.0,4.142857142857143,64.66666666666667
2020-Q1,North Dakota,ND,3.2,4.25,5.333333333333333
2020-Q1,Ohio,OH,5.8,6.313725490196078,72.0
2020-Q1,Oklahoma,OK,3.4,4.181818181818182,20.333333333333332
2020-Q1,Oregon,OR,4.3,4.05,19.666666666666668
2020-Q1,Pennsylvania,PA,5.6,5.930769230769231,79.33333333333333
2020-Q1,Rhode Island,RI,4.8,4.222222222222222,6.0
2020-Q1,South Carolina,SC,3.1,4.08,28.0
2020-Q1,South Dakota,SD,3.5,4.5,4.5
2020-Q1,Tennessee,TN,4.3,4.392857142857143,37.666666666666664
2020-Q1,Texas,TX,5.1,5.94488188976378,169.33333333333334
2020-Q1,Utah,UT,2.9,3.6,18.666666666666668
2020-Q1,Vermont,VT,3.0,4.5,4.333333333333333
2020-Q1,Virginia,VA,2.8,4.025,49.666666666666664
2020-Q1,Washington,WA,5.8,6.171052631578948,44.333333333333336
2020-Q1,West Virginia,WV,6.2,6.1,12.0
2020-Q1,Wisconsin,WI,3.8,4.075757575757576,33.666666666666664
2020-Q1,Wyoming,WY,5.9,5.8,3.6666666666666665
2020-Q2,Alabama,AL,12.7,6.0,43.666666666666664
2020-Q2,Alaska,AK,12.4,6.0,6.333333333333333
2020-Q2,Arizona,AZ,14.2,6.03030303030303,71.0
2020-Q2,Arkansas,AR,9.7,6.444444444444445,29.0
2020-Q2,California,CA,16.0,6.034666666666666,389.6666666666667
2020-Q2,Colorado,CO,12.2,6.083333333333333,56.333333333333336
2020-Q2,Connecticut,CT,11.6,6.2,35.0
2020-Q2,Delaware,DE,13.6,6.25,8.666666666666666
2020-Q2,District of Columbia,DC,10.6,5.8,9.666666666666666
2020-Q2,Florida,FL,14.3,6.0,214.66666666666666
2020-Q2,Georgia,GA,12.2,5.9904761904761905,94.66666666666667
2020-Q2,Hawaii,HI,21.9,6.15,13.666666666666666
2020-Q2,Idaho,ID,11.6,6.0,20.0
2020-Q2,Illinois,IL,16.3,6.163120567375887,130.33333333333334
2020-Q2,Indiana,IN,16.5,6.117647058823529,55.666666666666664
2020-Q2,Iowa,IA,11.0,6.057142857142857,32.333333333333336
2020-Q2,Kansas,KS,12.5,6.038461538461538,25.333333333333332
2020-Q2,Kentucky,KY,16.7,6.076923076923077,38.333333333333336
2020-Q2,Louisiana,LA,13.5,6.136363636363637,44.666666666666664
2020-Q2,Maine,ME,9.8,6.0,14.666666666666666
2020-Q2,Maryland,MD,9.3,6.0,64.0
2020-Q2,Massachusetts,MA,16.3,6.073529411764706,62.666666666666664
2020-Q2,Michigan,MI,23.6,5.96875,99.66666666666667
2020-Q2,Minnesota,MN,11.1,5.9411764705882355,57.333333333333336
2020-Q2,Mississippi,MS,15.4,5.954545454545454,21.333333333333332
2020-Q2,Missouri,MO,12.3,6.111111111111111,63.666666666666664
2020-Q2,Montana,MT,12.0,6.142857142857143,9.666666666666666
2020-Q2,Nebraska,NE,7.4,6.3,17.0
2020-Q2,Nevada,NV,29.7,6.096774193548387,30.666666666666668
2020-Q2,New Hampshire,NH,16.1,5.9411764705882355,16.666666666666668
2020-Q2,New Jersey,NJ,16.6,5.987654320987654,83.33333333333333
2020-Q2,New Mexico,NM,10.2,6.166666666666667,21.666666666666668
2020-Q2,New York,NY,16.2,6.005291005291006,190.66666666666666
2020-Q2,North Carolina,NC,13.7,6.120481927710843,92.0
2020-Q2,North Dakota,ND,8.9,6.0,7.666666666666667
2020-Q2,Ohio,OH,16.7,5.923728813559322,103.33333333333333
2020-Q2,Oklahoma,OK,12.7,5.951219512195122,39.0
2020-Q2,Oregon,OR,13.1,6.107142857142857,50.0
2020-Q2,Pennsylvania,PA,15.9,5.983193277310924,128.33333333333334
2020-Q2,Rhode Island,RI,17.5,6.75,9.0
